a,w,method,tlb
3,2,sax,0.001652892561983471
3,2,sfa,0.06223948318111734
3,2,spartan,0.2208665374946797
4,2,sax,0.001652892561983471
4,2,sfa,0.09315421011737525
4,2,spartan,0.3063778364449415
5,2,sax,0.001652892561983471
5,2,sfa,0.11833098349701422
5,2,spartan,0.3922179218315781
6,2,sax,0.001652892561983471
6,2,sfa,0.1324214231339056
6,2,spartan,0.44840138623728104
7,2,sax,0.001652892561983471
7,2,sfa,0.14451719077779718
7,2,spartan,0.49262003932766035
8,2,sax,0.001652892561983471
8,2,sfa,0.15537693713964762
8,2,spartan,0.5285665307697958
9,2,sax,0.001652892561983471
9,2,sfa,0.16403721119632464
9,2,spartan,0.5542877977582267
10,2,sax,0.001652892561983471
10,2,sfa,0.17151037971365798
10,2,spartan,0.5775438816395412
3,3,sax,0.001652892561983471
3,3,sfa,0.06593343241950717
3,3,spartan,0.22718762148372565
4,3,sax,0.001652892561983471
4,3,sfa,0.09575979330545334
4,3,spartan,0.3200780849209203
5,3,sax,0.001652892561983471
5,3,sfa,0.13161039810360634
5,3,spartan,0.4083176858547457
6,3,sax,0.001652892561983471
6,3,sfa,0.14472176172286955
6,3,spartan,0.46666431593830343
7,3,sax,0.0016575631045479217
7,3,sfa,0.15895108282494821
7,3,spartan,0.5123802355742337
8,3,sax,0.001652892561983471
8,3,sfa,0.16968136697621075
8,3,spartan,0.5503238099594525
9,3,sax,0.001652892561983471
9,3,sfa,0.17964128638274166
9,3,spartan,0.5769596413888053
10,3,sax,0.0021880024202010472
10,3,sfa,0.18908870097872776
10,3,spartan,0.6000488693486662
3,4,sax,0.001652892561983471
3,4,sfa,0.08059459743694121
3,4,spartan,0.2460506063360232
4,4,sax,0.001652892561983471
4,4,sfa,0.12066421092160617
4,4,spartan,0.34344489481626717
5,4,sax,0.001652892561983471
5,4,sfa,0.16118459713335084
5,4,spartan,0.4333634397466449
6,4,sax,0.001652892561983471
6,4,sfa,0.17586062491388393
6,4,spartan,0.4935121331073047
7,4,sax,0.001652892561983471
7,4,sfa,0.19524438448744463
7,4,spartan,0.5403364567296413
8,4,sax,0.001652892561983471
8,4,sfa,0.20784455981019362
8,4,spartan,0.578053006864595
9,4,sax,0.0016947989286187608
9,4,sfa,0.21823324374162748
9,4,spartan,0.6048004824963594
10,4,sax,0.0016783994930079022
10,4,sfa,0.23129496937537944
10,4,spartan,0.6284832609639195
3,5,sax,0.001652892561983471
3,5,sfa,0.08877888003641739
3,5,spartan,0.2586808168695885
4,5,sax,0.001652892561983471
4,5,sfa,0.13219843999665118
4,5,spartan,0.3586962785566682
5,5,sax,0.001652892561983471
5,5,sfa,0.1763416588754352
5,5,spartan,0.4492125650958789
6,5,sax,0.001652892561983471
6,5,sfa,0.1965156494403761
6,5,spartan,0.5100089222831481
7,5,sax,0.001652892561983471
7,5,sfa,0.2183602835014117
7,5,spartan,0.5573283209682276
8,5,sax,0.001652892561983471
8,5,sfa,0.233736397028591
8,5,spartan,0.5953720379026526
9,5,sax,0.001652892561983471
9,5,sfa,0.24289750427099832
9,5,spartan,0.6224487852001016
10,5,sax,0.0018315543584676288
10,5,sfa,0.25690596175255265
10,5,spartan,0.6455826332699337
3,6,sax,0.001652892561983471
3,6,sfa,0.10181842803495295
3,6,spartan,0.2707079270626913
4,6,sax,0.001652892561983471
4,6,sfa,0.15223315614827354
4,6,spartan,0.372941104585608
5,6,sax,0.001652892561983471
5,6,sfa,0.2009146417161753
5,6,spartan,0.4647076128980454
6,6,sax,0.002086496354078205
6,6,sfa,0.22294448817260398
6,6,spartan,0.5256610805881052
7,6,sax,0.002112184072558668
7,6,sfa,0.2463734851193485
7,6,spartan,0.5734885063091231
8,6,sax,0.003749133788391932
8,6,sfa,0.2636114095511966
8,6,spartan,0.6110216294134498
9,6,sax,0.008070226234046256
9,6,sfa,0.2753229446642841
9,6,spartan,0.6383028941593278
10,6,sax,0.0066094695964708135
10,6,sfa,0.29130865391116506
10,6,spartan,0.6610304428886821
3,7,sax,0.001652892561983471
3,7,sfa,0.11317853435685722
3,7,spartan,0.2745951840880404
4,7,sax,0.001652892561983471
4,7,sfa,0.1675787175289612
4,7,spartan,0.3771744710833703
5,7,sax,0.0018624420461495028
5,7,sfa,0.21454148274598323
5,7,spartan,0.46942938682882557
6,7,sax,0.0025004995549939434
6,7,sfa,0.243834046426697
6,7,spartan,0.5304605934129214
7,7,sax,0.0054041951064726906
7,7,sfa,0.26690094629745426
7,7,spartan,0.5784779660975727
8,7,sax,0.006424697615181992
8,7,sfa,0.2821713681261603
8,7,spartan,0.6162254711832935
9,7,sax,0.016136366788110135
9,7,sfa,0.2994195655360149
9,7,spartan,0.644157789674466
10,7,sax,0.017643687888532485
10,7,sfa,0.3119290295410095
10,7,spartan,0.6670360708727093
3,8,sax,0.001652892561983471
3,8,sfa,0.12161283161388477
3,8,spartan,0.27992120250821306
4,8,sax,0.001652892561983471
4,8,sfa,0.17844472052393479
4,8,spartan,0.3835941644665756
5,8,sax,0.001652892561983471
5,8,sfa,0.2268211385471987
5,8,spartan,0.47590936230079
6,8,sax,0.0017052582306524003
6,8,sfa,0.25701348559879456
6,8,spartan,0.5372818301279442
7,8,sax,0.001652892561983471
7,8,sfa,0.28039852579349145
7,8,spartan,0.5854660554370953
8,8,sax,0.0022424495064800112
8,8,sfa,0.29730338600576145
8,8,spartan,0.6231566813647791
9,8,sax,0.006962079374484721
9,8,sfa,0.3153665732885147
9,8,spartan,0.6512471907625249
10,8,sax,0.0022563323835235135
10,8,sfa,0.3286458955807939
10,8,spartan,0.674052109716199
